x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
746	NA	NA	NA	2	2	0	1	0	NA	NA	NA	3	5	0	0	0	0
747	NA	NA	NA	1	0	NA	0	0	NA	NA	NA	0	6	2.04248366013072e-05	0.000163398692810458	0	0
748	NA	NA	NA	0	0	NA	0	1	0	0	0	0	7	3.50140056022409e-05	0.000140056022408964	0	0
749	3.71360665478313e-06	8.9126559714795e-05	0	0	1	0	1	4	0	0	0	5	11	1.11408199643494e-05	8.9126559714795e-05	0	0
750	5.1062091503268e-06	0.000122549019607843	0	0	2	0	0	3	0	0	0	1	8	1.53186274509804e-05	0.000122549019607843	0	0
751	8.16993464052288e-06	0.000196078431372549	0	0	1	0	0	3	0	0	0	7	5	2.45098039215686e-05	0.000196078431372549	0	0
752	6.12745098039216e-05	0.000490196078431373	0	0	2	0	0	2	0.000122549019607843	0.000490196078431373	0	1	4	6.12745098039216e-05	0.000245098039215686	0	0.000245098039215686
753	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	2	4	3.06372549019608e-05	0.000245098039215686	0	0.000490196078431373
754	5.83566760037348e-06	0.000140056022408964	0	1	1	0	0	1	0	0	0	4	7	1.75070028011204e-05	0.000140056022408964	0	0
755	0	0	0	0	2	0	0	2	0	0	0	3	6	0	0	0	0
756	NA	NA	NA	1	0	NA	0	0	NA	NA	NA	2	3	4.08496732026144e-05	0.000326797385620915	0	0
757	0	0	0	0	3	0	0	1	0	0	0	2	4	0	0	0	0.000245098039215686
758	4.53885257806826e-06	0.000108932461873638	0	1	1	0	0	2	0	0	0	3	9	1.36165577342048e-05	0.000108932461873638	0	0
759	0	0	0	0	1	0	0	2	0	0	0	2	7	0	0	0	0
