x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
360	2.99564270152505e-05	9.80392156862745e-05	0	428	13	0	445	10	4.90196078431373e-05	9.80392156862745e-05	0	186	12	4.08496732026144e-05	8.16993464052288e-05	0	8.16993464052288e-05
361	5.25210084033613e-05	0.000280112044817927	0	362	8	0	396	14	1.75070028011204e-05	7.00280112044818e-05	0	165	7	0.000140056022408964	0.000280112044817927	0	0.000140056022408964
362	1.11408199643494e-05	8.9126559714795e-05	0	410	5	0	419	5	0	0	0	137	11	3.34224598930481e-05	8.9126559714795e-05	0	8.9126559714795e-05
363	7.25867269984917e-05	0.000226244343891403	0	407	22	0	476	13	0.000131975867269985	0.000226244343891403	7.54147812971342e-05	171	10	8.57843137254902e-05	9.80392156862745e-05	0	0.000196078431372549
364	2.04248366013072e-05	9.80392156862745e-05	0	418	10	0	440	12	0	0	0	129	10	6.12745098039216e-05	9.80392156862745e-05	0	9.80392156862745e-05
365	3.57434640522876e-05	0.000163398692810458	0	424	9	0	456	12	6.12745098039216e-05	0.000163398692810458	0	181	8	4.59558823529412e-05	0.000122549019607843	0	0.000122549019607843
366	0.000246573166303558	0.000588235294117647	0	435	10	0.000588235294117647	456	9	0.000136165577342048	0.000326797385620915	0	180	8	1.53186274509804e-05	0.000122549019607843	0	0.000245098039215686
367	6.12745098039216e-05	0.000490196078431373	0	423	16	0	472	12	6.12745098039216e-05	8.16993464052288e-05	0	176	2	0.000122549019607843	0.000490196078431373	0	0
368	6.26671122994652e-05	0.00017825311942959	0	392	7	0	413	11	0.000111408199643494	0.00017825311942959	0	170	8	7.6593137254902e-05	0.000122549019607843	0	0.000245098039215686
369	2.85947712418301e-05	0.000196078431372549	0	396	13	0	441	4	0	0	0	170	10	8.57843137254902e-05	0.000196078431372549	0	9.80392156862745e-05
370	7.34508547008547e-05	0.000245098039215686	0	393	6	0	412	13	0.000113122171945701	0.000226244343891403	0	161	8	0.000107230392156863	0.000245098039215686	0	0
371	0.000168731051083992	0.00065359477124183	0	407	11	0.000267379679144385	441	13	7.54147812971342e-05	0.000150829562594268	0	176	3	0.000163398692810458	0.00065359477124183	0	0
372	7.9656862745098e-05	0.000490196078431373	0	405	7	0	453	10	2.45098039215686e-05	9.80392156862745e-05	0	180	4	0.000214460784313725	0.000490196078431373	0	0
373	1.36165577342048e-05	0.000326797385620915	0	388	16	0	459	5	0	0	0	151	3	4.08496732026144e-05	0.000326797385620915	0	0
374	7.98838053740015e-05	0.000294117647058824	0	388	5	0	474	10	0.00017156862745098	0.000294117647058824	9.80392156862745e-05	184	9	6.8082788671024e-05	0.000217864923747277	0	0.000108932461873638
375	0.000123848781937017	0.000267379679144385	0	404	11	0.000267379679144385	428	10	7.35294117647059e-05	9.80392156862745e-05	0	164	4	3.06372549019608e-05	0.000245098039215686	0	0
376	3.85802469135802e-05	0.000163398692810458	0	402	14	0	431	9	5.44662309368192e-05	0.000108932461873638	0	193	12	6.12745098039216e-05	0.000163398692810458	0	0
